T03,"Population growth and indicators of fertility and mortality",,,,,
474,Martinique,2010,"Life expectancy at birth for both sexes (years)",80.106,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
474,Martinique,2010,"Life expectancy at birth for males (years)",76.7,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
474,Martinique,2010,"Life expectancy at birth for females (years)",83.21,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
474,Martinique,2015,"Population annual rate of increase (percent)",-0.837,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
474,Martinique,2015,"Total fertility rate (children per women)",1.975,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
474,Martinique,2015,"Infant mortality for both sexes (per 1,000 live births)",6.425,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
474,Martinique,2015,"Life expectancy at birth for both sexes (years)",81.203,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
474,Martinique,2015,"Life expectancy at birth for males (years)",77.79,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
474,Martinique,2015,"Life expectancy at birth for females (years)",84.36,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2005,"Population annual rate of increase (percent)",2.792,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
478,Mauritania,2005,"Total fertility rate (children per women)",5.302,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2005,"Infant mortality for both sexes (per 1,000 live births)",69.203,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
478,Mauritania,2005,"Maternal mortality ratio (deaths per 100,000 population)",750.0141,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
478,Mauritania,2005,"Life expectancy at birth for both sexes (years)",60.935,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2005,"Life expectancy at birth for males (years)",59.05,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2005,"Life expectancy at birth for females (years)",62.77,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2010,"Population annual rate of increase (percent)",2.889,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
478,Mauritania,2010,"Total fertility rate (children per women)",5.07,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2010,"Infant mortality for both sexes (per 1,000 live births)",65.572,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
478,Mauritania,2010,"Maternal mortality ratio (deaths per 100,000 population)",722.8495,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
478,Mauritania,2010,"Life expectancy at birth for both sexes (years)",61.906,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2010,"Life expectancy at birth for males (years)",60.07,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2010,"Life expectancy at birth for females (years)",63.68,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2015,"Population annual rate of increase (percent)",2.934,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
478,Mauritania,2015,"Total fertility rate (children per women)",4.88,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2015,"Infant mortality for both sexes (per 1,000 live births)",58.863,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
478,Mauritania,2015,"Maternal mortality ratio (deaths per 100,000 population)",601.5852,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
478,Mauritania,2015,"Life expectancy at birth for both sexes (years)",63.214,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2015,"Life expectancy at birth for males (years)",61.43,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
478,Mauritania,2015,"Life expectancy at birth for females (years)",64.95,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2005,"Population annual rate of increase (percent)",0.613,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
480,Mauritius,2005,"Total fertility rate (children per women)",1.9335,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2005,"Infant mortality for both sexes (per 1,000 live births)",13.347,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
480,Mauritius,2005,"Maternal mortality ratio (deaths per 100,000 population)",39.1335,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
480,Mauritius,2005,"Life expectancy at birth for both sexes (years)",72.089,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2005,"Life expectancy at birth for males (years)",68.85,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2005,"Life expectancy at birth for females (years)",75.45,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2010,"Population annual rate of increase (percent)",0.42,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
480,Mauritius,2010,"Total fertility rate (children per women)",1.698,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2010,"Infant mortality for both sexes (per 1,000 live births)",13.213,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
480,Mauritius,2010,"Maternal mortality ratio (deaths per 100,000 population)",59.0625,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
480,Mauritius,2010,"Life expectancy at birth for both sexes (years)",72.761,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2010,"Life expectancy at birth for males (years)",69.39,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2010,"Life expectancy at birth for females (years)",76.25,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2015,"Population annual rate of increase (percent)",0.184,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
480,Mauritius,2015,"Total fertility rate (children per women)",1.4859,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2015,"Infant mortality for both sexes (per 1,000 live births)",11.959,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
480,Mauritius,2015,"Maternal mortality ratio (deaths per 100,000 population)",53.358,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
480,Mauritius,2015,"Life expectancy at birth for both sexes (years)",74.145,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2015,"Life expectancy at birth for males (years)",70.67,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
480,Mauritius,2015,"Life expectancy at birth for females (years)",77.74,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2005,"Population annual rate of increase (percent)",3.391,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
175,Mayotte,2005,"Total fertility rate (children per women)",4.8,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2005,"Infant mortality for both sexes (per 1,000 live births)",7.619,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
175,Mayotte,2005,"Life expectancy at birth for both sexes (years)",76.467,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2005,"Life expectancy at birth for males (years)",72.97,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2005,"Life expectancy at birth for females (years)",80.56,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2010,"Population annual rate of increase (percent)",3.173,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
175,Mayotte,2010,"Total fertility rate (children per women)",4.6,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2010,"Infant mortality for both sexes (per 1,000 live births)",5.634,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
175,Mayotte,2010,"Life expectancy at birth for both sexes (years)",77.953,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2010,"Life expectancy at birth for males (years)",74.47,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2010,"Life expectancy at birth for females (years)",81.87,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2015,"Population annual rate of increase (percent)",2.794,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
175,Mayotte,2015,"Total fertility rate (children per women)",4.1,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2015,"Infant mortality for both sexes (per 1,000 live births)",4.195,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
175,Mayotte,2015,"Life expectancy at birth for both sexes (years)",79.338,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2015,"Life expectancy at birth for males (years)",76.04,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
175,Mayotte,2015,"Life expectancy at birth for females (years)",82.9,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2005,"Population annual rate of increase (percent)",1.388,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
484,Mexico,2005,"Total fertility rate (children per women)",2.61,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2005,"Infant mortality for both sexes (per 1,000 live births)",20.12,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
484,Mexico,2005,"Maternal mortality ratio (deaths per 100,000 population)",53.5177,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
484,Mexico,2005,"Life expectancy at birth for both sexes (years)",75.111,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2005,"Life expectancy at birth for males (years)",72.46,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2005,"Life expectancy at birth for females (years)",77.74,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2010,"Population annual rate of increase (percent)",1.471,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
484,Mexico,2010,"Total fertility rate (children per women)",2.4,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2010,"Infant mortality for both sexes (per 1,000 live births)",17.144,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
484,Mexico,2010,"Maternal mortality ratio (deaths per 100,000 population)",45.371,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
484,Mexico,2010,"Life expectancy at birth for both sexes (years)",75.182,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2010,"Life expectancy at birth for males (years)",72.35,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2010,"Life expectancy at birth for females (years)",77.99,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2015,"Population annual rate of increase (percent)",1.317,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
484,Mexico,2015,"Total fertility rate (children per women)",2.29,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2015,"Infant mortality for both sexes (per 1,000 live births)",15.162,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
484,Mexico,2015,"Maternal mortality ratio (deaths per 100,000 population)",37.8481,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
484,Mexico,2015,"Life expectancy at birth for both sexes (years)",74.935,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2015,"Life expectancy at birth for males (years)",71.95,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
484,Mexico,2015,"Life expectancy at birth for females (years)",77.91,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
583,"Micronesia (Fed. States of)",2005,"Population annual rate of increase (percent)",-0.239,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
583,"Micronesia (Fed. States of)",2005,"Total fertility rate (children per women)",4.05,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
583,"Micronesia (Fed. States of)",2005,"Infant mortality for both sexes (per 1,000 live births)",39.812,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
583,"Micronesia (Fed. States of)",2005,"Maternal mortality ratio (deaths per 100,000 population)",134.0635,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
583,"Micronesia (Fed. States of)",2005,"Life expectancy at birth for both sexes (years)",64.978,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
583,"Micronesia (Fed. States of)",2005,"Life expectancy at birth for males (years)",63.43,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
583,"Micronesia (Fed. States of)",2005,"Life expectancy at birth for females (years)",66.62,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
583,"Micronesia (Fed. States of)",2010,"Population annual rate of increase (percent)",-0.616,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
583,"Micronesia (Fed. States of)",2010,"Total fertility rate (children per women)",3.622,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
583,"Micronesia (Fed. States of)",2010,"Infant mortality for both sexes (per 1,000 live births)",34.953,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
